matched_names,ingress_csplus_matched_to_name_1,ingress_csplus_matched_to_name_2,ingress_csplus_matched_to_name_3,ingress_csplus_matched_to_name_4,ingress_csplus_matched_to_name_5,ingress_csplus_matched_to_name_6,ingress_csplus_matched_to_name_7,ingress_csplus_matched_to_name_8,ingress_csplus_matched_to_name_9,ingress_csplus_matched_to_name_11,ingress_csminus_matched_to_name_1,ingress_csminus_matched_to_name_2,ingress_csminus_matched_to_name_3,ingress_csminus_matched_to_name_4,ingress_csminus_matched_to_name_5,ingress_csminus_matched_to_name_6,ingress_csminus_matched_to_name_7,ingress_csminus_matched_to_name_8,ingress_csminus_matched_to_name_9,ingress_csminus_matched_to_name_11
PW16,11773,8518,14000,14000,7884,14000,14000,11134,14000,6897,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
PW18,14000,14000,14000,14000,14000,14000,14000,14000,14000,2794,2581,14000,14000,14000,14000,14000,14000,14000,14000,14000
PW19,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,2671,3186,14000,14000,14000,14000,14000,14000,14000
PW27,14000,14000,14000,14000,6483,7923,9247,11719,7756,6614,14000,14000,14000,12917,14000,5594,14000,11912,3571,14000
PW29,8877,7594,11631,9199,5915,4318,4424,8145,14000,4878,11543,11899,5395,8717,11413,2625,2666,6942,2577,4811
PW30,14000,14000,14000,14000,9128,11394,7431,3354,8315,8131,14000,14000,14000,11734,14000,11451,11618,13549,3386,14000
