Mice,TrialType,Trials,Ingress_Fit,Ingress_Mag,Tremble_Mag,Tremble_Dur,Ingress_onset,TrialType_Generic
PW27,CS+2,6,0.900465594807937,0.129301084673445,0.118111017119943,0.371172601496938,0.734833333333333,CS+
PW27,CS+2,7,0.788586460463512,0.0896496730614467,0.075097342805255,0.785521885521886,0.495,CS+
PW27,CS+2,8,0.607653428667983,0.00120120945115966,0.113754879257899,0.441273779983457,0.403,CS+
PW27,CS+2,9,0.962327945944118,0.13883597104828,0.110053197902475,0.251077276644642,0.580166666666667,CS+
PW27,CS+2,10,0.854729315456469,0.694136920105945,0.629264433058128,0.942595978062157,0.227916666666667,CS+
PW29,CS+1,1,NaN,0.222778421743882,NaN,NaN,0.566416666666667,CS+
PW29,CS+1,2,0.998480470588775,0.909881795634361,0.444059274235661,0.340036231884058,0.46,CS+
PW29,CS+1,3,0.664841286386248,0.0475972766479258,0.0390787187358301,0.378738587469829,0.794083333333333,CS+
PW29,CS+1,4,0.840904770909645,0.0988385194472298,0.0885306381453624,0.503436174879368,0.569916666666667,CS+
PW29,CS+1,5,0.299084276418866,0,1.5651397994832,0.840050777530942,0.525166666666667,CS+
PW29,CS+1,6,NaN,0,NaN,NaN,0.571416666666667,CS+
PW29,CS+1,7,NaN,0,NaN,NaN,0.196,CS+
PW29,CS+1,8,NaN,0,NaN,NaN,0.496333333333333,CS+
PW29,CS+1,9,0.982403825636255,0,0.0159783346268252,0.70425,NaN,CS+
PW29,CS+1,10,NaN,0,NaN,NaN,0.232666666666667,CS+
PW29,CS+2,1,0.433257577501887,0.0126019992797275,0.0607587647875131,0.495722746216276,0.759833333333333,CS+
PW29,CS+2,2,NaN,0,NaN,NaN,0.58725,CS+
PW29,CS+2,3,NaN,0,NaN,NaN,0.612166666666667,CS+
PW29,CS+2,4,0.575165460567457,0.0184642486678036,0.0580643070300152,0.701920400779293,0.299416666666667,CS+
PW29,CS+2,5,NaN,0,NaN,NaN,0.74275,CS+
PW29,CS+2,6,NaN,0,NaN,NaN,0.2055,CS+
PW29,CS+2,7,NaN,0,NaN,NaN,0.319833333333333,CS+
PW29,CS+2,8,NaN,0,NaN,NaN,0.229333333333333,CS+
PW29,CS+2,9,NaN,0,NaN,NaN,0.476583333333333,CS+
PW29,CS+2,10,NaN,0,NaN,NaN,0.440333333333333,CS+
PW30,CS+1,1,NaN,0,NaN,NaN,0.01275,CS+
PW30,CS+1,2,0.953954616325315,0.0415030377511926,NaN,1.01282051282051,0.0065,CS+
PW30,CS+1,3,0.903959960120026,0.0313127771070181,0.0196390845674344,0.588,NaN,CS+
PW30,CS+1,4,0.825103423277546,0,0.0359866719571144,0.24,NaN,CS+
PW30,CS+1,5,0.894410397447377,0.0953508758523433,0.0211200842077263,0.809130991324136,0.585916666666667,CS+
PW30,CS+1,6,0.991828803712006,0.456768080620364,0.0215725858488261,0.810749676863421,0.773666666666667,CS+
PW30,CS+1,7,0.934346997776967,0.201903549523385,0.0373675499572152,0.917260787992495,0.444166666666667,CS+
PW30,CS+1,8,0.959058731086073,0.166864333492884,0.0240619987080514,1.00091575091575,0.091,CS+
PW30,CS+1,9,NaN,0,NaN,NaN,0.517416666666667,CS+
PW30,CS+1,10,0.990414019826847,0.505690587201991,0.125983830163341,1.00016412276383,0.50775,CS+
PW30,CS+2,1,0.919677226487416,0.040280029696617,NaN,0,0.00733333333333333,CS+
PW30,CS+2,2,0.946884249799023,0.0547061526398768,0.00678832031065926,0.952307692307692,0.108333333333333,CS+
PW30,CS+2,3,0.987053770301587,0.209852246145002,0.0200059793283624,0.123334086288683,0.737833333333333,CS+
PW30,CS+2,4,0.986408855852349,0.511911981628311,0.105377394646145,0.198817966903073,0.705,CS+
PW30,CS+2,5,0.990816577853187,0.339639136716368,0.0695162619317204,0.222871548069211,0.72725,CS+
PW30,CS+2,6,0.992360512703845,0.675313049580791,0.136827672056653,0.951102812463531,0.714083333333333,CS+
PW30,CS+2,7,0.615186164778973,0.0506788012434189,0.0246019360820366,0.943769680611786,0.55575,CS+
PW30,CS+2,8,0.972519318019271,0.377551603242271,0.349609608690316,0.950850661625709,0.705333333333333,CS+
PW30,CS+2,9,0.951637482626914,0.350422403858561,0.311360453643152,1.00046168051708,0.1805,CS+
PW30,CS+2,10,0.884911042797729,0.128126476247735,0.0601417168715258,0.92667766078904,0.656916666666667,CS+
PW16,CS-1,1,0.889678095512609,0.0245882688094184,0.00240435717542741,0.172413793103448,0.0483333333333333,CS-
PW16,CS-1,2,0.600079593716689,0.00803382876112536,0.00510300266917663,0.0135,NaN,CS-
PW16,CS-1,3,0.415396208881265,0.00524488987908871,0.00739435994175162,0.070875,NaN,CS-
PW16,CS-1,4,0.535493406962554,0.00557828039408136,0.00272280870183454,0,NaN,CS-
PW16,CS-1,5,0.314696463209639,0.00325575421532436,0.0043598515896508,0,NaN,CS-
PW16,CS-1,6,0.552206500898986,0.000602954698578624,0.00380745406723694,0,NaN,CS-
PW16,CS-1,7,0.608999223265549,0,0.0042147940115624,0,NaN,CS-
PW16,CS-1,8,0.323923749179758,0,0.00810513216526075,0.077875,NaN,CS-
PW16,CS-1,9,0.363681604605694,0,0.00620042856649446,0.1135,NaN,CS-
PW16,CS-1,10,0.246130253670025,0,0.00435462846353181,0,NaN,CS-
PW16,CS-2,1,0.992356339379343,0.662479985279101,0.00975868041115062,0.844599844599845,0.10725,CS-
PW16,CS-2,2,0.977374594427225,0.0434585805637011,0.00286554538806341,0,NaN,CS-
PW16,CS-2,3,0.737615149908825,0.0119253783016037,0.00257158838305971,0,NaN,CS-
PW16,CS-2,4,0.377633931308297,0.00350631150417647,0.00818870342627592,0.082125,NaN,CS-
PW16,CS-2,5,0.998603382912127,1.02288748059209,0.0384141324120462,0.459252588923908,0.185083333333333,CS-
PW16,CS-2,6,0.735925366848845,0.0105295352551508,0.00629917956012622,0.097375,NaN,CS-
PW16,CS-2,7,0.189256121246183,0,0.00874308025723514,0.119,NaN,CS-
PW16,CS-2,8,0.217811231598592,0,0.00604494340090241,0.02825,NaN,CS-
PW16,CS-2,9,0.391638695294774,0.00605103566661701,0.00559524313824608,0.03975,NaN,CS-
PW16,CS-2,10,0.806441907766768,0,0.00431131951619263,0,NaN,CS-
PW18,CS-1,1,0.997674641233832,0.893378397104775,NaN,1.00204498977505,0.04075,CS-
PW18,CS-1,2,0.779300012980248,0.0267608837344054,0.0165256511173003,1.00113378684807,0.0735,CS-
PW18,CS-1,3,0.952889056968668,0.0374031301328272,0.0106935911235558,0.085625,NaN,CS-
