matched_names,ingress_csplus_matched_to_name_1,ingress_csplus_matched_to_name_2,ingress_csplus_matched_to_name_3,ingress_csplus_matched_to_name_4,ingress_csplus_matched_to_name_5,ingress_csplus_matched_to_name_6,ingress_csplus_matched_to_name_7,ingress_csplus_matched_to_name_8,ingress_csplus_matched_to_name_9,ingress_csplus_matched_to_name_10,ingress_csplus_matched_to_name_11,ingress_csplus_matched_to_name_12,ingress_csplus_matched_to_name_13,ingress_csplus_matched_to_name_14,ingress_csplus_matched_to_name_15,ingress_csplus_matched_to_name_16,ingress_csplus_matched_to_name_17,ingress_csplus_matched_to_name_18,ingress_csplus_matched_to_name_19,ingress_csplus_matched_to_name_20,ingress_csminus_matched_to_name_1,ingress_csminus_matched_to_name_2,ingress_csminus_matched_to_name_3,ingress_csminus_matched_to_name_4,ingress_csminus_matched_to_name_5,ingress_csminus_matched_to_name_6,ingress_csminus_matched_to_name_7,ingress_csminus_matched_to_name_8,ingress_csminus_matched_to_name_9,ingress_csminus_matched_to_name_10,ingress_csminus_matched_to_name_11,ingress_csminus_matched_to_name_12,ingress_csminus_matched_to_name_13,ingress_csminus_matched_to_name_14,ingress_csminus_matched_to_name_15,ingress_csminus_matched_to_name_16,ingress_csminus_matched_to_name_17,ingress_csminus_matched_to_name_18,ingress_csminus_matched_to_name_19,ingress_csminus_matched_to_name_20
PW16,10000,8263,10000,10000,7797,10000,10000,11047,10000,6765,2921,10000,11761,10000,10000,10000,7253,6895,10000,4567,2580,10000,10000,10000,10000,10000,10000,10000,10000,10000,3287,10000,10000,10000,4221,10000,10000,10000,10000,10000
PW18,2337,10000,10000,10000,10000,10000,10000,2324,2792,2600,10000,10000,10000,10000,10000,11318,10000,10000,8500,10000,2489,2882,10000,10000,6907,10000,10000,10000,9437,10000,10000,7475,10000,10000,10000,10000,10000,10000,10000,10000
PW19,10000,10000,10000,10000,10000,4905,10000,10000,10000,11163,6394,10000,10000,10000,10000,10000,2167,10000,10000,10000,10000,2587,2955,10000,10000,10000,9184,10000,10000,10000,3471,11783,10000,2824,10000,10000,10000,10000,10702,7493
PW27,10000,10000,10000,10000,6394,7852,9202,10572,7704,6529,10000,13144,9192,10311,8309,10818,7940,6836,8962,4735,10000,10000,10000,12904,10000,9430,11289,10315,3475,10000,10000,10000,10000,6565,10000,7920,8020,10000,10527,10000
PW29,8797,7520,11529,8839,8302,8857,4352,7956,10000,4792,11118,9047,9346,5593,10913,4466,5838,4752,7719,7284,10437,10814,5318,8619,10032,2454,2515,6724,2454,7525,10708,10316,2500,2620,4696,2748,6058,10276,5395,10000
PW30,2153,2078,10000,10000,9031,11284,7330,3092,8209,8093,2088,3300,10854,10460,10727,10569,8669,10464,4166,9883,10000,10000,10000,10658,10000,10334,10534,13461,3283,10000,2589,10000,10617,10485,10000,10616,10835,10387,7204,10694
