Var1_1,Var1_2,Var1_3,Var1_4,Var1_5,Var1_6,Var1_7,Var1_8,Var1_9,Var1_10,Var1_11,Var1_12,Var1_13,Var1_14,Var1_15,Var1_16,Var1_17,Var1_18,Var1_19,Var1_20
4664,5695,6126,4578,5072,2668,2673,4132,5461,4728,0,0,5688,0,0,0,0,5499,3810,4258
10154,3357,5191,10305,7054,0,5105,6786,3541,11378,0,0,2480,0,0,0,0,0,6210,0
5282,6042,0,10169,7152,9235,0,0,0,0,0,8744,0,0,0,0,0,0,0,0
4245,6488,6993,0,10610,7982,11030,6756,8227,7512,0,10965,8041,0,3563,0,0,6183,0,0
10615,9740,6594,0,10312,5128,10336,8035,10101,9253,0,0,0,0,0,2224,0,0,0,0
0,11805,3648,4685,8451,3866,5269,4514,4662,3775,13177,0,3187,0,2349,0,0,0,0,0
2102,0,6898,4695,0,4936,0,0,10092,5463,0,0,0,0,0,0,0,0,0,0
3266,6242,13757,10994,8526,9819,8222,8691,0,9448,0,5687,0,6830,10842,0,0,0,0,3101
